"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
1626,Germany,2021,17.960902,10.852892,33.000000,95.901465,96.877161,100.000000
1627,Germany,2021,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1628,Germany,2020,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1629,Germany,2021,18.197071,10.960087,34.000000,95.723369,96.796964,100.000000
1630,Germany,2021,11.987033,8.000000,9.000000,100.334007,100.000000,100.000000
1631,Germany,2020,13.130699,9.000000,9.000000,100.406609,100.000000,100.000000
1632,Germany,2021,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1633,Germany,2020,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1634,Germany,2021,13.782586,8.869577,15.000000,97.688258,97.137666,98.000000
1635,Germany,2021,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1636,Germany,2020,14.260091,9.101744,17.078997,97.570731,97.181705,98.356263
1637,Germany,2021,17.960902,10.852892,33.000000,95.901465,96.877161,100.000000
1638,Germany,2020,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1639,Germany,2021,12.678057,8.000000,15.000000,99.290645,100.000000,100.000000
1640,Germany,2020,14.968550,10.000000,15.000000,98.070749,95.000000,99.000000
1641,Germany,2021,13.473684,8.816186,14.000000,99.285301,98.400898,100.000000
1642,Germany,2021,9.000000,6.634713,4.000000,99.000000,98.480207,99.000000
1643,Germany,2020,13.709853,8.923381,15.000000,99.107205,98.320702,100.000000
1644,Germany,2021,17.016224,10.424112,29.000000,96.613852,97.197947,100.000000
1645,Germany,2020,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1646,Germany,2021,17.724732,10.745697,32.000000,96.079562,96.957357,100.000000
1647,Germany,2020,17.252394,10.531307,30.000000,96.435755,97.117751,100.000000
1648,Germany,2021,16.780055,10.316917,28.000000,96.791948,97.278144,100.000000
1649,Germany,2021,17.252394,10.531307,30.000000,96.435755,97.117751,100.000000
1650,Germany,2020,17.488563,10.638502,31.000000,96.257659,97.037554,100.000000
1651,Germany,2021,15.000000,10.000000,17.814351,100.000000,100.000000,99.196271
1652,Germany,2020,19.000000,12.000000,24.000000,75.000000,100.000000,96.000000
1653,Germany,2021,15.000000,9.000000,20.000000,99.000000,99.000000,99.000000
1654,Germany,2021,15.000000,11.000000,10.000000,97.000000,97.000000,98.000000
1655,Germany,2020,15.000000,8.000000,27.000000,100.000000,100.000000,98.000000
1656,Germany,2020,19.000000,10.000000,28.000000,85.000000,87.000000,97.000000
1657,Germany,2021,15.000000,9.000000,30.000000,99.000000,99.000000,99.000000
1658,Germany,2021,15.000000,9.000000,28.000000,100.000000,100.000000,96.000000
1659,Germany,2021,19.000000,11.000000,22.000000,98.000000,98.000000,97.000000
1660,Germany,2021,15.0,9.000000,30.0,99.0,100.000000,91.0
1661,Germany,2021,15.0,7.000000,26.0,98.0,100.000000,100.0
1662,Germany,2021,15.0,9.465318,21.0,100.0,98.249021,100.0
1663,Germany,2020,15.0,10.000000,20.0,100.0,100.000000,100.0
1664,Germany,2021,15.0,12.000000,11.0,100.0,100.000000,100.0
1665,Germany,2021,19.0,10.000000,32.0,98.0,100.000000,100.0
1666,Germany,2020,15.0,10.000000,27.0,100.0,100.000000,100.0
1667,Germany,2020,15.0,10.000000,12.0,99.0,100.000000,100.0
1668,Germany,2021,15.0,8.000000,23.0,100.0,100.000000,100.0
1669,Germany,2020,19.0,11.504645,20.0,99.0,97.356191,99.0
1670,Germany,2020,19.0,11.186912,29.0,98.0,95.570122,96.0
1671,Germany,2021,15.0,9.481924,11.0,96.0,95.932629,96.0
1672,Germany,2020,16.0,9.000000,25.0,98.0,100.000000,99.0
1673,Germany,2021,18.0,14.000000,29.0,73.0,99.000000,99.0
1674,Germany,2020,18.0,9.000000,16.0,100.0,99.000000,95.0
1675,Germany,2020,16.0,10.065021,14.0,99.0,97.726671,99.0
1676,Germany,2021,16.0,11.000000,24.0,74.0,65.000000,97.0
1677,Germany,2020,16.0,9.881357,20.0,100.0,97.320635,98.0
1678,Germany,2021,18.0,11.000000,26.0,96.0,98.000000,97.0
1679,Germany,2021,18.0,10.953108,21.0,100.0,97.600877,99.0
1680,Germany,2020,16.0,10.000000,20.647947,99.0,99.000000,98.863735
1681,Germany,2021,16.0,10.000000,30.000000,89.0,86.000000,98.000000
1682,Germany,2020,16.0,9.909599,25.000000,100.0,98.070068,100.000000
1683,Germany,2020,19.0,10.000000,35.000000,100.0,100.000000,98.000000
1684,Germany,2021,19.0,11.000000,31.000000,92.0,97.000000,99.000000
1685,Germany,2020,16.0,8.000000,20.000000,98.0,98.000000,100.000000
1686,Germany,2021,18.0,11.000000,19.000000,95.0,94.000000,95.000000
1687,Germany,2020,16.0,9.000000,15.000000,100.0,100.000000,95.000000
1688,Germany,2020,16.0,10.000000,20.000000,99.0,99.000000,99.000000
1689,Germany,2020,15.0,9.312976,24.000000,99.0,97.073370,98.000000
1690,Germany,2020,15.0,9.567826,14.000000,98.0,97.590325,99.000000
1691,Germany,2021,15.0,10.000000,7.000000,100.0,97.000000,100.000000
1692,Germany,2020,15.0,8.000000,5.000000,100.0,100.000000,99.000000
1693,Germany,2021,20.0,11.910239,13.000000,99.0,95.706101,95.000000
1694,Germany,2021,15.0,11.000000,18.298060,95.0,95.000000,98.459907
1695,Germany,2020,15.0,10.000000,23.000000,99.0,99.000000,100.000000
1696,Germany,2021,15.0,8.000000,22.000000,100.0,100.000000,99.000000
1697,Germany,2020,19.0,10.000000,31.000000,99.0,97.000000,100.000000
1698,Germany,2021,15.0,9.000000,21.000000,100.0,100.000000,99.000000
1699,Germany,2021,15.0,9.607690,13.000000,100.0,98.470857,100.000000
1700,Germany,2020,15.000000,8.000000,30.000000,98.000000,98.000000,98.000000
1701,Germany,2021,15.000000,8.000000,25.000000,100.000000,100.000000,98.000000
1702,Germany,2020,15.000000,9.448867,18.430194,99.000000,97.506356,98.627282
1703,Germany,2020,15.000000,10.000000,11.000000,100.000000,100.000000,100.000000
1704,Germany,2020,15.000000,9.501863,21.000000,98.000000,97.840258,100.000000
1705,Germany,2021,14.260091,9.101744,17.078997,97.570731,97.181705,98.356263
1706,Germany,2021,17.030422,11.000000,23.000000,98.117302,100.000000,100.000000
1707,Germany,2021,15.000000,9.549554,14.000000,99.000000,97.794706,99.000000
1708,Germany,2020,20.000000,14.000000,27.000000,85.000000,100.000000,99.000000
1709,Germany,2020,14.260091,9.101744,17.078997,97.570731,97.181705,98.356263
1710,Germany,2021,15.000000,10.000000,29.000000,66.000000,100.000000,100.000000
1711,Germany,2021,15.000000,10.000000,9.000000,100.000000,99.000000,99.000000
1712,Germany,2021,15.000000,11.000000,23.000000,96.000000,96.000000,100.000000
1713,Germany,2020,15.000000,10.000000,29.000000,61.000000,85.000000,71.000000
1714,Germany,2020,15.872349,10.000000,23.000000,97.895542,99.000000,100.000000
1715,Germany,2020,15.000000,9.213547,23.000000,99.000000,96.213018,96.000000
1716,Germany,2020,15.000000,9.000000,26.000000,99.000000,99.000000,100.000000
1717,Germany,2020,15.000000,9.000000,23.000000,100.000000,97.000000,100.000000
1718,Germany,2020,15.000000,9.447521,22.000000,100.000000,98.221291,100.000000
1719,Germany,2020,21.688084,14.000000,33.317304,96.226059,100.000000,99.491371
1720,Germany,2020,19.0,11.363925,17.000000,100.0,96.311639,96.000000
1721,Germany,2020,15.0,10.000000,18.000000,99.0,100.000000,100.000000
1722,Germany,2021,19.0,11.129475,17.000000,100.0,94.535477,92.000000
1723,Germany,2021,15.0,11.000000,12.000000,100.0,100.000000,100.000000
1724,Germany,2021,15.0,9.000000,26.000000,99.0,100.000000,100.000000
1725,Germany,2020,15.0,9.000000,26.000000,94.0,98.000000,98.000000
1726,Germany,2020,15.0,11.000000,24.000000,99.0,100.000000,100.000000
1727,Germany,2020,15.0,9.496640,18.000000,98.0,97.479406,99.000000
1728,Germany,2020,15.0,11.000000,13.000000,100.0,100.000000,99.000000
1729,Germany,2021,15.0,9.463884,19.121638,96.0,96.665735,98.158172
1730,Germany,2020,15.0,9.885589,21.000000,77.0,93.548251,100.000000
1731,Germany,2021,15.0,9.282129,28.000000,100.0,97.610873,99.000000
1732,Germany,2020,17.0,12.000000,19.000000,99.0,100.000000,100.000000
1733,Germany,2021,16.0,12.000000,13.000000,100.0,100.000000,100.000000
1734,Germany,2021,16.0,8.000000,26.000000,97.0,100.000000,100.000000
1735,Germany,2021,17.0,9.000000,19.000000,98.0,98.000000,99.000000
1736,Germany,2020,16.0,8.745699,31.000000,52.0,73.440049,67.000000
1737,Germany,2021,16.0,10.000000,22.000000,100.0,99.000000,98.000000
1738,Germany,2020,16.0,9.000000,23.000000,100.0,100.000000,99.000000
1739,Germany,2020,17.0,10.553705,28.000000,74.0,90.384729,95.000000
1740,Germany,2021,17.000000,8.000000,17.0,98.000000,99.000000,100.0
1741,Germany,2020,17.000000,11.000000,23.0,100.000000,100.000000,100.0
1742,Germany,2020,17.000000,10.000000,29.0,100.000000,100.000000,100.0
1743,Germany,2021,16.000000,9.000000,22.0,99.000000,100.000000,100.0
1744,Germany,2021,16.000000,9.984342,14.0,97.000000,96.429828,97.0
1745,Germany,2021,17.000000,9.000000,23.0,100.000000,100.000000,98.0
1746,Germany,2020,17.000000,10.000000,19.0,99.000000,99.000000,99.0
1747,Germany,2020,16.000000,10.000000,13.0,99.000000,100.000000,100.0
1748,Germany,2021,16.000000,11.000000,18.0,100.000000,100.000000,97.0
1749,Germany,2020,16.961632,11.000000,22.0,97.373568,98.000000,99.0
1750,Germany,2021,17.000000,10.000000,20.0,100.000000,100.000000,100.0
1751,Germany,2021,17.000000,10.137227,28.0,100.000000,96.142683,96.0
1752,Germany,2021,16.000000,10.000000,26.0,100.000000,99.000000,98.0
1753,Germany,2021,17.000000,9.000000,23.0,99.000000,99.000000,99.0
1754,Germany,2021,16.000000,11.000000,24.0,100.000000,78.000000,96.0
1755,Germany,2020,16.000000,8.000000,27.0,99.000000,99.000000,96.0
1756,Germany,2020,17.000000,10.000000,18.0,86.000000,100.000000,99.0
1757,Germany,2021,17.000000,11.000000,23.0,100.000000,68.000000,98.0
1758,Germany,2021,16.000000,9.000000,25.0,100.000000,100.000000,99.0
1759,Germany,2021,16.000000,10.082818,13.0,99.000000,97.754401,99.0
1760,Germany,2021,16.0,9.940445,21.0,99.0,97.532565,99.0
1761,Germany,2021,16.0,10.000000,25.0,96.0,95.000000,98.0
1762,Germany,2020,16.0,10.000000,26.0,99.0,100.000000,96.0
1763,Germany,2020,16.0,9.000000,19.0,100.0,99.000000,96.0
1764,Germany,2020,16.0,11.000000,32.0,97.0,98.000000,99.0
1765,Germany,2020,16.0,10.000000,26.0,98.0,96.000000,99.0
1766,Germany,2021,16.0,11.000000,16.0,100.0,100.000000,95.0
1767,Germany,2020,16.0,8.000000,17.0,99.0,96.000000,100.0
1768,Germany,2021,16.0,11.000000,31.0,84.0,97.000000,98.0
1769,Germany,2020,16.0,11.000000,27.0,88.0,96.000000,98.0
1770,Germany,2021,16.0,11.000000,18.0,100.0,100.000000,95.0
1771,Germany,2021,17.0,10.318764,32.0,99.0,97.603546,100.0
1772,Germany,2021,16.0,11.000000,22.0,99.0,99.000000,99.0
1773,Germany,2021,17.0,10.336084,30.0,100.0,97.863386,100.0
1774,Germany,2020,17.0,9.000000,22.0,100.0,100.000000,99.0
1775,Germany,2020,16.0,10.000000,29.0,100.0,100.000000,99.0
1776,Germany,2020,17.0,10.455913,21.0,99.0,97.464530,99.0
1777,Germany,2020,17.0,10.000000,25.0,99.0,99.000000,99.0
1778,Germany,2021,17.0,10.000000,14.0,97.0,99.000000,96.0
