"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/24/2020","AQS","480291087","1","4","ug/m3 SC","4","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"09/30/2020","AQS","480291087","1","21","ug/m3 SC","19","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"10/06/2020","AQS","480291087","1","22","ug/m3 SC","20","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"10/12/2020","AQS","480291087","1","79","ug/m3 SC","63","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"10/18/2020","AQS","480291087","1","14","ug/m3 SC","13","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"10/24/2020","AQS","480291087","1","14","ug/m3 SC","13","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"10/30/2020","AQS","480291087","1","13","ug/m3 SC","12","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"11/05/2020","AQS","480291087","1","18","ug/m3 SC","17","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"11/11/2020","AQS","480291087","1","18","ug/m3 SC","17","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"11/17/2020","AQS","480291087","1","21","ug/m3 SC","19","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
